epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
133,40484.7,0.93959,0.54544,1.1115,0.95985,0.67054,0.76988,0.51803,1.17662,0.72979,1.42934,0.001244,0.001244,0.001244
134,40789.1,0.93631,0.54534,1.10343,0.95983,0.6702,0.77005,0.51715,1.17646,0.73083,1.42894,0.00117767,0.00117767,0.00117767
135,41092.7,0.92359,0.53973,1.10039,0.95962,0.66978,0.77034,0.51823,1.1761,0.73143,1.42827,0.00111133,0.00111133,0.00111133
136,41397.4,0.91883,0.53087,1.09633,0.95841,0.66856,0.77034,0.51811,1.1758,0.73222,1.42806,0.001045,0.001045,0.001045
137,41700.9,0.91152,0.52342,1.09694,0.95809,0.66876,0.77026,0.51884,1.17469,0.73222,1.42709,0.000978667,0.000978667,0.000978667
138,42006.6,0.91452,0.52949,1.09489,0.95748,0.66921,0.77039,0.51985,1.17447,0.73396,1.42699,0.000912333,0.000912333,0.000912333
139,42328.2,0.9038,0.52006,1.08676,0.96116,0.6672,0.76985,0.52025,1.17361,0.73496,1.42636,0.000846,0.000846,0.000846
140,42649.4,0.89955,0.51681,1.08525,0.95778,0.66782,0.77005,0.52073,1.17294,0.73676,1.42597,0.000779667,0.000779667,0.000779667
141,42982.1,0.8207,0.41481,1.08674,0.9578,0.66742,0.77018,0.52134,1.17231,0.73794,1.42547,0.000713333,0.000713333,0.000713333
142,43287.7,0.8099,0.40414,1.08139,0.95696,0.668,0.77051,0.52205,1.17175,0.73975,1.42497,0.000647,0.000647,0.000647
143,43592.1,0.80029,0.4027,1.07219,0.9553,0.67205,0.77067,0.52297,1.17091,0.74156,1.42439,0.000580667,0.000580667,0.000580667
144,43896.4,0.79132,0.39461,1.07142,0.95452,0.67256,0.77137,0.52334,1.17046,0.7429,1.42379,0.000514333,0.000514333,0.000514333
145,44200.9,0.77829,0.38831,1.06221,0.95446,0.67257,0.77079,0.52345,1.16957,0.74374,1.42322,0.000448,0.000448,0.000448
146,44505,0.77457,0.3868,1.05866,0.9537,0.67276,0.77134,0.52393,1.16879,0.74533,1.42251,0.000381667,0.000381667,0.000381667
147,44808.9,0.76998,0.38411,1.05905,0.95358,0.67278,0.77149,0.52414,1.16826,0.74704,1.42208,0.000315333,0.000315333,0.000315333
148,45112.9,0.75862,0.37864,1.0495,0.9533,0.6727,0.77164,0.52455,1.1675,0.74854,1.42136,0.000249,0.000249,0.000249
149,45417.8,0.76116,0.37754,1.05151,0.95509,0.67257,0.77176,0.52441,1.1664,0.74895,1.42051,0.000182667,0.000182667,0.000182667
150,45720.7,0.75028,0.37396,1.04525,0.76553,0.702,0.77175,0.52463,1.1656,0.74971,1.42012,0.000116333,0.000116333,0.000116333
