epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
124,3113.24,1.12519,0.55361,1.01722,0.94498,0.93054,0.97186,0.68233,1.11465,0.51607,1.04995,0.001882,0.001882,0.001882
125,3137.77,1.11766,0.55085,1.01565,0.94192,0.92892,0.97007,0.67838,1.1195,0.52022,1.05431,0.001816,0.001816,0.001816
126,3162.43,1.11268,0.55353,1.01351,0.94983,0.92628,0.97198,0.67887,1.11402,0.51733,1.04815,0.00175,0.00175,0.00175
127,3187.16,1.1136,0.54744,1.01084,0.94242,0.92924,0.97191,0.67948,1.11969,0.51719,1.05366,0.001684,0.001684,0.001684
128,3211.87,1.1115,0.54497,1.0118,0.9372,0.93801,0.97204,0.68171,1.11609,0.51377,1.05325,0.001618,0.001618,0.001618
129,3236.46,1.11228,0.5475,1.01573,0.94512,0.9277,0.97216,0.67893,1.12152,0.52086,1.05586,0.001552,0.001552,0.001552
130,3260.9,1.10941,0.54385,1.01052,0.94395,0.93163,0.97145,0.68159,1.11569,0.51329,1.04957,0.001486,0.001486,0.001486
131,3285.39,1.11052,0.54459,1.00985,0.94657,0.92749,0.97262,0.68289,1.11265,0.51349,1.04642,0.00142,0.00142,0.00142
132,3309.76,1.10114,0.53862,1.00437,0.94792,0.92845,0.97293,0.68525,1.10881,0.51018,1.04652,0.001354,0.001354,0.001354
133,3334.22,1.10655,0.53811,1.00942,0.94714,0.92637,0.9718,0.68467,1.11336,0.51001,1.04914,0.001288,0.001288,0.001288
134,3358.54,1.09685,0.53522,1.00683,0.94609,0.93123,0.97301,0.68293,1.11246,0.51341,1.04779,0.001222,0.001222,0.001222
135,3383.18,1.10236,0.53674,1.00594,0.94322,0.93004,0.97218,0.68221,1.116,0.51332,1.04859,0.001156,0.001156,0.001156
136,3407.86,1.09339,0.53261,1.00489,0.9477,0.92765,0.9726,0.6839,1.10849,0.51202,1.04628,0.00109,0.00109,0.00109
137,3432.63,1.10296,0.5371,1.00554,0.94519,0.93004,0.97197,0.68158,1.1143,0.51012,1.05076,0.001024,0.001024,0.001024
138,3457.28,1.08782,0.52899,1.00044,0.94433,0.92727,0.97183,0.67985,1.1206,0.51346,1.05346,0.000958,0.000958,0.000958
139,3481.88,1.08273,0.52568,0.99921,0.94478,0.93243,0.97304,0.68504,1.11211,0.50765,1.04845,0.000892,0.000892,0.000892
140,3506.37,1.08468,0.52719,1.00065,0.94724,0.93068,0.97228,0.68235,1.11312,0.51063,1.0496,0.000826,0.000826,0.000826
141,3543.93,1.06679,0.51386,1.00861,0.93731,0.93243,0.97054,0.67797,1.12409,0.51322,1.05558,0.00076,0.00076,0.00076
142,3572.85,1.0555,0.50254,1.00568,0.94279,0.93259,0.97192,0.67967,1.11735,0.5106,1.05229,0.000694,0.000694,0.000694
143,3599.31,1.05158,0.49891,1.00348,0.94562,0.92832,0.97147,0.67977,1.11973,0.50929,1.05207,0.000628,0.000628,0.000628
144,3625.17,1.04173,0.49604,0.99854,0.94149,0.93355,0.97099,0.68231,1.11933,0.50799,1.05206,0.000562,0.000562,0.000562
145,3650.64,1.04433,0.49449,0.99961,0.94469,0.92817,0.97163,0.68095,1.11588,0.51058,1.0513,0.000496,0.000496,0.000496
146,3676.59,1.03809,0.49114,0.99911,0.9478,0.92622,0.97191,0.68189,1.11595,0.5087,1.05111,0.00043,0.00043,0.00043
147,3703.17,1.03635,0.49123,0.99798,0.94574,0.9259,0.9723,0.68317,1.11249,0.50835,1.04944,0.000364,0.000364,0.000364
148,3730.9,1.03622,0.48977,0.99776,0.95034,0.92397,0.97199,0.6831,1.11222,0.50776,1.04987,0.000298,0.000298,0.000298
149,3758.47,1.02893,0.48694,0.99441,0.94644,0.92717,0.972,0.68363,1.11163,0.50734,1.049,0.000232,0.000232,0.000232
150,3785.05,1.02944,0.48453,0.99358,0.9401,0.93285,0.97189,0.68251,1.11293,0.5068,1.04821,0.000166,0.000166,0.000166
